SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,2200.00,2283.95,2200.00,2225.30,2212.50,2227.50,3022,183685,415711363.00,,INE117A01022,06-Jan-22,,
500003,AEGIS LOGIS ,A ,Q,214.00,215.65,213.40,214.50,214.45,214.70,1437,42661,9157005.00,,INE208C01025,06-Jan-22,,
500008,AMAR RAJA BA,A ,Q,634.70,637.85,626.00,633.65,633.65,634.40,1736,35079,22204647.00,,INE885A01032,06-Jan-22,,
500009,A.SARABHAI  ,X ,Q,35.45,35.50,34.15,35.20,35.20,35.30,1043,249903,8750644.00,,INE432A01017,06-Jan-22,,
500010,HDFC        ,A ,Q,2652.00,2652.00,2603.75,2622.50,2622.50,2672.85,4350,74944,196546231.00,,INE001A01036,06-Jan-22,,
500012,ANDHRA PETRO,B ,Q,119.00,121.55,118.00,119.40,119.40,120.05,1840,248671,29729628.00,,INE714B01016,06-Jan-22,,
500013,ANSAL INFRAS,B ,Q,13.33,13.50,12.80,13.11,13.10,13.34,97,65385,840564.00,,INE436A01026,06-Jan-22,,
500014,UTIQUE      ,XT,Q,11.33,11.33,11.33,11.33,11.33,11.92,339,44279,501681.00,,INE096A01010,06-Jan-22,,
500016,ARUNAHTEL   ,XT,Q,9.35,9.90,9.15,9.62,9.60,9.51,76,36482,348814.00,,INE957C01019,06-Jan-22,,
500020,BOM DYEING  ,A ,Q,109.00,110.40,106.55,108.45,108.45,108.45,4368,501091,54294621.00,,INE032A01023,06-Jan-22,,
500023,ASIANHOTNR  ,B ,Q,80.45,88.15,79.10,86.40,86.95,82.35,236,7614,645212.00,,INE363A01022,06-Jan-22,,
500027,ATUL LTD.   ,A ,Q,9200.00,9210.45,9006.35,9163.55,9168.80,9196.70,576,1057,9649906.00,,INE100A01010,06-Jan-22,,
500028,ATV PROJECTS,XT,Q,13.50,13.50,12.75,13.06,13.05,12.96,113,61468,803944.00,,INE447A01015,06-Jan-22,,
500031,BAJAJ ELECT.,A ,Q,1259.90,1259.90,1216.10,1223.70,1223.70,1264.35,3079,22116,27392711.00,,INE193E01025,06-Jan-22,,
500032,BAJAJHIND   ,A ,Q,17.40,17.40,16.70,17.40,17.40,16.60,5664,3876900,66741442.00,,INE306A01021,06-Jan-22,,
500033,FORCE MOTR  ,A ,Q,1246.00,1271.65,1239.85,1260.90,1260.90,1245.45,1285,6041,7618821.00,,INE451A01017,06-Jan-22,,
500034,BAJFINANCE  ,A ,Q,7550.00,7781.10,7525.00,7739.50,7739.50,7668.55,8285,73460,563120223.00,,INE296A01024,06-Jan-22,,
500038,BALRAM.CHINI,A ,Q,413.00,437.55,409.35,423.45,423.45,417.55,8561,355592,152177076.00,,INE119A01028,06-Jan-22,,
500039,BANCO PROD. ,B ,Q,187.90,194.25,181.00,193.10,193.10,185.10,1721,26370,4996507.00,,INE213C01025,06-Jan-22,,
500040,CENTURY TEXT,A ,Q,912.90,924.90,895.35,911.25,911.25,912.90,1963,20425,18670820.00,,INE055A01016,06-Jan-22,,
500041,BANNARI AMAN,A ,Q,2632.00,2933.95,2632.00,2821.20,2843.35,2781.25,276,811,2293892.00,,INE459A01010,06-Jan-22,,
500042,BASF INDIA  ,A ,Q,2950.00,2952.20,2901.85,2937.25,2945.00,2944.40,412,1380,4028026.00,,INE373A01013,06-Jan-22,,
500043,BATA INDIA  ,A ,Q,1813.70,1863.80,1778.55,1857.05,1855.85,1813.30,2310,71202,127807689.00,,INE176A01028,06-Jan-22,,
500048,BEML LTD    ,A ,Q,1800.05,1918.05,1800.05,1859.25,1859.25,1840.75,8450,70512,132225049.00,,INE258A01016,06-Jan-22,,
500049,BHARAT ELECT,A ,Q,209.60,213.10,209.60,211.85,211.85,213.60,2546,144909,30726303.00,,INE263A01024,06-Jan-22,,
500052,BHANSALI ENG,A ,Q,172.50,173.75,171.20,171.90,171.45,174.85,1791,55658,9596633.00,,INE922A01025,06-Jan-22,,
500058,BIHAR SPONGE,XT,Q,12.69,12.74,12.00,12.74,12.74,12.14,554,146100,1846323.00,,INE819C01011,06-Jan-22,,
500060,BIRLACABLE  ,B ,Q,106.40,109.40,102.60,107.35,107.00,105.30,643,18916,2012311.00,,INE800A01015,06-Jan-22,,
500067,BLUE STAR   ,A ,Q,993.25,1030.00,992.40,1014.65,1011.60,997.40,458,1333,1353804.00,,INE472A01039,06-Jan-22,,
500068,DISA INDIA  ,X ,Q,5609.00,5773.95,5609.00,5744.90,5744.90,5675.65,73,217,1245336.00,,INE131C01011,06-Jan-22,,
500069,BNK CAPITAL ,X ,Q,237.00,244.75,232.25,237.40,237.50,239.25,39,867,205896.00,,INE418C01012,06-Jan-22,,
500074,BPL LTD.    ,B ,Q,71.90,73.15,70.20,73.15,73.15,69.70,225,20727,1491311.00,,INE110A01019,06-Jan-22,,
500078,OAL         ,B ,Q,784.00,807.00,763.05,797.80,804.25,783.95,372,2357,1854979.00,,INE959C01023,06-Jan-22,,
500083,CENTURY EXT ,B ,Q,15.25,15.30,14.04,14.98,14.98,14.61,610,228292,3385791.00,,INE281A01026,06-Jan-22,,
